Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
173.252.102.24-192.168.1.101-443-56157-6,192.168.1.101,56157,173.252.102.24,443,6,07/08/2014 09:02:10 PM,5353760,3,6,743.0,885.0,399.0,0.0,247.66666666666669,216.24137747742296,482.0,0.0,147.5,215.39521814562178,304.085353097636,1.6810615343235407,669220.0,1362359.8014133943,4017996.0,1.0,1002776.0,501388.0,189599.36966667374,635455.0,367321.0,5059975.0,1011995.0,1879402.0953528013,4359315.0,1.0,0,1,0,0,60,120,0.5603538447745136,1.120707689549027,0.0,482.0,167.3,200.6052231512319,40242.455555555556,0,0,0,1,1,0,0,0,2.0,185.88888888888889,247.66666666666666,147.5,0,0,0,0,0,0,3,743,6,885,-1,64296,2,0,0,0,0,0,0,0,0,0,No Label
173.194.35.53-192.168.1.101-443-56644-6,173.194.35.53,443,192.168.1.101,56644,6,07/08/2014 09:02:16 PM,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399999.99999999994,5.0,0.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,199999.99999999997,199999.99999999997,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.101-67.252.131.62-49690-55645-17,192.168.1.101,49690,67.252.131.62,55645,17,07/08/2014 09:02:04 PM,27871375,3,5,180.0,284.0,64.0,56.0,60.0,4.0,64.0,52.0,56.8,5.215361924162119,16.647904884491705,0.2870328428360639,3981625.0,7808603.715862736,2.1223889E7,953.0,6646533.0,3323266.5,2429256.154378229,5041010.0,1605523.0,2.7870262E7,6967565.5,9756791.70254268,2.1223889E7,562840.0,0,0,0,0,24,40,0.10763731606352396,0.17939552677253992,52.0,64.0,57.77777777777778,4.521553322083513,20.444444444444454,0,0,0,0,0,0,0,0,1.0,65.0,60.0,56.8,0,0,0,0,0,0,3,180,5,284,-1,-1,3,0,1606476.0,0.0,1606476.0,1606476.0,1.3131893E7,1.1443810489868836E7,2.1223889E7,5039897.0,No Label
192.168.1.101-93.184.221.133-56668-80-6,93.184.221.133,80,192.168.1.101,56668,6,07/08/2014 09:02:02 PM,21699458,14,12,18200.0,1401.0,1400.0,0.0,1299.9999999999998,374.1657386773941,1400.0,0.0,116.75,404.1190474915214,903.2944509489591,1.1981866090848905,867978.3200000002,2528800.009969547,1.0072106E7,3.0,2.1011904E7,1616300.3076923077,3461828.164973347,1.0327943E7,3.0,2.1699458E7,1972678.0,3722129.205936489,1.0072106E7,49.0,0,0,0,0,292,300,0.6451774048918641,0.5530092041930263,0.0,1400.0,777.8148148148148,708.8753843527862,502504.3105413104,0,0,0,0,1,0,0,0,0.0,807.7307692307693,1300.0,116.75,0,0,0,0,0,0,14,18200,12,1401,-1,64400,13,0,1057274.0,1133670.3611508948,1858900.0,255648.0,9217712.0,1208295.5824101982,1.0072106E7,8363318.0,No Label
192.168.1.101-68.232.35.139-56659-443-6,68.232.35.139,443,192.168.1.101,56659,6,07/08/2014 09:02:04 PM,639,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3129.8904538341158,639.0,0.0,639.0,639.0,0,0,0,0,0,639.0,639.0,0.0,639.0,639.0,0,0,0,0,0,40,0.0,3129.8904538341158,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.101-90.84.136.32-56604-80-6,192.168.1.101,56604,90.84.136.32,80,6,07/08/2014 09:02:22 PM,292711,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,3.4163389828192314,6.832677965638463,292711.0,0.0,292711.0,292711.0,0,0,0,0,0,292711.0,292711.0,0.0,292711.0,292711.0,0,0,0,0,0,52,0.0,6.832677965638463,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,15544,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.101-208.117.231.17-56562-443-6,192.168.1.101,56562,208.117.231.17,443,6,07/08/2014 09:02:01 PM,31459652,46,55,0.0,75600.0,0.0,0.0,0.0,0.0,1400.0,0.0,1374.5454545454543,188.77596148970784,2403.0780760066896,3.210461450749678,314596.5200000001,628275.3022240143,5554595.0,4.0,3.1059191E7,690204.2444444444,909328.0265593518,5800007.0,47.0,3.1230918E7,578350.3333333333,859504.0098733336,5773243.0,4.0,0,0,0,0,1240,1112,1.462190363707774,1.7482710870419038,0.0,1400.0,741.1764705882351,702.238703200392,493139.1962725683,0,0,0,0,1,0,0,0,1.0,748.5148514851485,0.0,1374.5454545454545,0,0,0,0,0,0,46,0,55,75600,-1,31529,0,0,1.8890834E7,0.0,1.8890834E7,1.8890834E7,5554595.0,0.0,5554595.0,5554595.0,No Label
192.168.1.101-67.252.131.62-56526-23754-6,192.168.1.101,56526,67.252.131.62,23754,6,07/08/2014 09:02:13 PM,1515544,2,3,4.0,8.0,4.0,0.0,2.0,2.8284271247461903,4.0,0.0,2.666666666666667,2.309401076758503,7.917948934508005,3.2991453893783356,378886.0,235362.63753762335,721666.0,223972.0,721666.0,721666.0,0.0,721666.0,721666.0,1515544.0,757772.0,752592.1319931534,1289935.0,225609.0,0,1,0,0,40,72,1.3196581557513343,1.9794872336270013,0.0,4.0,2.666666666666667,2.0655911179772892,4.2666666666666675,0,0,0,1,1,0,0,0,1.0,3.2,2.0,2.6666666666666665,0,0,0,0,0,0,2,4,3,8,-1,49304,1,0,0,0,0,0,0,0,0,0,No Label
192.168.1.101-67.252.131.62-59656-55645-17,192.168.1.101,59656,67.252.131.62,55645,17,07/08/2014 09:02:25 PM,7077625,1,1,52.0,52.0,52.0,52.0,52.0,0.0,52.0,52.0,52.0,0.0,14.694194733402801,0.2825806679500539,7077625.0,0.0,7077625.0,7077625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.14129033397502694,0.14129033397502694,52.0,52.0,52.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,78.0,52.0,52.0,0,0,0,0,0,0,1,52,1,52,-1,-1,1,0,0,0,0,0,7077625.0,0.0,7077625.0,7077625.0,No Label
192.168.1.101-90.84.59.91-56595-80-6,192.168.1.101,56595,90.84.59.91,80,6,07/08/2014 09:02:08 PM,237174,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,4.216313761204854,8.432627522409708,237174.0,0.0,237174.0,237174.0,0,0,0,0,0,237174.0,237174.0,0.0,237174.0,237174.0,0,0,0,0,0,52,0.0,8.432627522409708,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,15544,0,0,0,0,0,0,0,0,0,0,No Label
